cod_dep,departamento,cod_mun,municipio,cultivo,desagregacion,ciclo_cultivo,anio,periodo,semestre,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha
68,SANTANDER,68152,CARCASI,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,130,0,0,
70,SUCRE,70001,SINCELEJO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,40,0,0,
70,SUCRE,70110,BUENAVISTA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015A,A,15,0,0,
08,ATLANTICO,08433,MALAMBO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015B,B,60,0,0,
15,BOYACA,15131,CALDAS,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015B,B,1,0,0,
25,CUNDINAMARCA,25489,NIMAIMA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015B,B,20,0,0,
63,QUINDIO,63401,LA TEBAIDA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2015,2015B,B,9,0,0,
15,BOYACA,15537,PAZ DE RIO,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2016,2016A,A,30,0,0,
88,SAN ANDRES Y PROVIDENCIA,88001,SAN ANDRES,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2016,2016A,A,0,0,0,1.25
88,SAN ANDRES Y PROVIDENCIA,88564,PROVIDENCIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2016,2016A,A,0,0,0,2.16
88,SAN ANDRES Y PROVIDENCIA,88564,PROVIDENCIA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2017,2017A,A,0,0,0,2.1
97,VAUPES,97666,TARAIRA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2017,2017A,A,0,0,0,1.9
97,VAUPES,97666,TARAIRA,MAIZ,MAIZ TRADICIONAL,TRANSITORIO,2018,2018A,A,0,0,0,1.9
