cod_mun,municipio,cod_dep,departamento,lat,lon
13580,REGIDOR,13,BOLÍVAR,8.73079,-73.84884
13600,RÍO VIEJO,13,BOLÍVAR,8.51415,-73.97378
13620,SAN CRISTÓBAL,13,BOLÍVAR,10.37637,-75.06223
13647,SAN ESTANISLAO,13,BOLÍVAR,10.36226,-75.20893
13654,SAN JACINTO,13,BOLÍVAR,9.83276,-75.10343
13655,SAN JACINTO DEL CAUCA,13,BOLÍVAR,8.23862,-74.67272
13657,SAN JUAN NEPOMUCENO,13,BOLÍVAR,9.96953,-75.07014
13667,SAN MARTÍN DE LOBA,13,BOLÍVAR,8.79116,-74.00897
13670,SAN PABLO,13,BOLÍVAR,7.41974,-74.13867
13673,SANTA CATALINA,13,BOLÍVAR,10.64489,-75.27083
13683,SANTA ROSA,13,BOLÍVAR,10.47051,-75.36029
13688,SANTA ROSA DEL SUR,13,BOLÍVAR,7.77385,-74.2607
13744,SIMITÍ,13,BOLÍVAR,7.84879,-73.97998
13760,SOPLAVIENTO,13,BOLÍVAR,10.33672,-75.11447
13780,TALAIGUA NUEVO,13,BOLÍVAR,9.30947,-74.63601
13810,TIQUISIO,13,BOLÍVAR,8.49378,-74.29651
13836,TURBACO,13,BOLÍVAR,10.35059,-75.3782
13838,TURBANÁ,13,BOLÍVAR,10.20797,-75.4669
13873,VILLANUEVA,13,BOLÍVAR,10.44835,-75.2665
13894,ZAMBRANO,13,BOLÍVAR,9.74942,-74.87845
20032,ASTREA,20,CESAR,9.51117,-73.94654
20060,BOSCONIA,20,CESAR,9.94632,-73.86228
20175,CHIMICHAGUA,20,CESAR,9.22125,-73.75333
20178,CHIRIGUANÁ,20,CESAR,9.42622,-73.54556
20228,CURUMANÍ,20,CESAR,9.23568,-73.48784
20238,EL COPEY,20,CESAR,10.1999,-73.91201
20250,EL PASO,20,CESAR,9.68115,-73.69306
20295,GAMARRA,20,CESAR,8.35071,-73.70148
20310,GONZÁLEZ,20,CESAR,8.39932,-73.3796
20383,LA GLORIA,20,CESAR,8.61909,-73.63931
20400,LA JAGUA DE IBIRICO,20,CESAR,9.54692,-73.30528
20443,MANAURE BALCÓN DEL CESAR,20,CESAR,10.38713,-72.99948
20517,PAILITAS,20,CESAR,8.94297,-73.57199
20550,PELAYA,20,CESAR,8.76708,-73.62956
20614,RÍO DE ORO,20,CESAR,8.20343,-73.48562
20710,SAN ALBERTO,20,CESAR,7.81526,-73.43977
20750,SAN DIEGO,20,CESAR,10.1715,-73.28704
20787,TAMALAMEQUE,20,CESAR,8.90362,-73.76179
20001,VALLEDUPAR,20,CESAR,10.38156,-73.46114
20013,AGUSTÍN CODAZZI,20,CESAR,9.94721,-73.22231
20045,BECERRIL,20,CESAR,9.72544,-73.2533
20621,LA PAZ,20,CESAR,10.15786,-73.19399
20570,PUEBLO BELLO,20,CESAR,10.46758,-73.58776
20770,SAN MARTÍN,20,CESAR,7.9311,-73.54922
20011,AGUACHICA,20,CESAR,8.24797,-73.62434
44078,BARRANCAS,44,LA GUAJIRA,10.98759,-72.69092
44098,DISTRACCIÓN,44,LA GUAJIRA,10.92133,-72.9394
44110,EL MOLINO,44,LA GUAJIRA,10.63812,-72.88824
44279,FONSECA,44,LA GUAJIRA,10.82389,-72.80176
44378,HATONUEVO,44,LA GUAJIRA,11.09885,-72.73126
44420,LA JAGUA DEL PILAR,44,LA GUAJIRA,10.45354,-73.07021
44855,URUMITA,44,LA GUAJIRA,10.49507,-72.99098
44874,VILLANUEVA,44,LA GUAJIRA,10.58056,-72.9775
44001,RIOHACHA,44,LA GUAJIRA,11.24361,-72.95668
44035,ALBANIA,44,LA GUAJIRA,11.22914,-72.5297
44090,DIBULLA,44,LA GUAJIRA,11.09114,-73.43421
44650,SAN JUAN DEL CESAR,44,LA GUAJIRA,10.81635,-73.08913
44847,URIBIA,44,LA GUAJIRA,11.99495,-71.74926
44430,MAICAO,44,LA GUAJIRA,11.38397,-72.29301
44560,MANAURE,44,LA GUAJIRA,11.6067,-72.5725
47541,PEDRAZA,47,MAGDALENA,10.15395,-74.83871
47030,ALGARROBO,47,MAGDALENA,10.25163,-74.10079
47058,ARIGUANÍ,47,MAGDALENA,9.83505,-74.08633
47161,CERRO DE SAN ANTONIO,47,MAGDALENA,10.29104,-74.81819
47170,CHIVOLO,47,MAGDALENA,10.10315,-74.53103
47205,CONCORDIA,47,MAGDALENA,10.23141,-74.77802
47258,EL PIÑÓN,47,MAGDALENA,10.34866,-74.67776
